File,Algorithm,Hash,Entropy
byte0029.dat,MD5,683c9384e29efe82dd3ac847904c28e8,4.0
byte0029.dat,SHA-1,f4942d3b9e9588dcfdc6312a84df75d05f111c20,4.321928094887363
byte0029.dat,SHA-256,c7855ac54d2c5767273eec327efe39fdb3bad74121bdd8d2065484268727539e,4.9375
byte0029.dat,SHA3-256,2923faa1babba47fddbaf858b306a43c6a26407b37c15438d5d17f0aa99c30e1,4.8125
byte0029.dat,Blake2b,f39c1718927e3cdc7e7361f18228cabb1ab9ca59118175b7df13c2452bd8292f3f8d38e90e082c7328f78457712fda537a504a821da95caea19dcebbe9f37f87,5.71875
byte0030.dat,MD5,b3d948e72159ddc9c600d75512c5f115,4.0
byte0030.dat,SHA-1,310207df35b014e4676d30806fa34424813734dd,4.321928094887363
byte0030.dat,SHA-256,d1e1f2aca9cfe8c6460f576661190a8008705ef13207c4c7200a2d6b0605f519,4.875
byte0030.dat,SHA3-256,320730bc1c538d9c63ab2a80b4958cba4820e05611106c3f18c791a87567992f,5.0
byte0030.dat,Blake2b,09ba11138c06ad6087be03210032627c989802c88ac8cbf801be938bbb833ae8814904618d4476e07dac40d2998fe7828fe13d398f2addda55ef82ff6ab2cc86,5.800704882778696
byte0031.dat,MD5,ce8633a6cf189b07e022147bbbd0f350,4.0
